CARNET,CEDULA,APELLIDOS,NOMBRES,CODIGO_MATERIA,SECCION,DESCRIPCION,creditos,dia,hora_inicio,hora_fin
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2224,1,CIRCUITOS DIGITALES,3,1,6,7
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2224,1,CIRCUITOS DIGITALES,3,4,6,8
1800554,28700787,GOMEZ FERNANDEZ,SAMANTHA AMANDA,AM-2429,3,FUNDAMENTOS DE NUMEROMIA,3,2,3,4
1800554,28700787,GOMEZ FERNANDEZ,SAMANTHA AMANDA,AM-2429,3,FUNDAMENTOS DE NUMEROMIA,3,4,8,9
1508273,26502431,WILLIAMS,AMANDA,FCA-114,1,PRENSA Y OPINION PUBLICA,3,4,1,3
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2233,1,SISTEMAS DE CONTROL,3,3,6,7
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2233,1,SISTEMAS DE CONTROL,3,5,6,7
1700403,28119938,BROWN SANCHEZ,EMILY ASHLEY,FC-1621,4,ESTADISTICA I,3,1,4,5
1700403,28119938,BROWN SANCHEZ,EMILY ASHLEY,FC-1621,4,ESTADISTICA I,3,4,1,3
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,AM-2544,1,SERVICIO DE TRANSPORTE DE MERCANCIA,2,2,1,4
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2125,1,INSTALACIONES ESCOBATRICAS,3,2,1,2
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2125,1,INSTALACIONES ESCOBATRICAS,3,3,1,2
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2215,1,COMUNICACIONES I,2,1,3,4
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2215,1,COMUNICACIONES I,2,3,3,4
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,AM-2126,1,MERCADEO TURISTICO,3,1,2,3
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,AM-2126,1,MERCADEO TURISTICO,3,2,1,2
1508437,22827417,DIAZ,SAMUEL JAMES,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,3,1,3
1508437,22827417,DIAZ,SAMUEL JAMES,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,5,1,2
1800494,28103756,ALONZO DIAZ,AUSTIN MATTHEW,TI-1381,1,TALLER BASICO,2,4,1,4
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,1,1,2
1504334,30740717,MARTINEZ FERNANDEZ,CHRISTOPHER,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,4,1,2
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,FC-1621,2,ESTADISTICA I,3,2,6,8
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,FC-1621,2,ESTADISTICA I,3,4,7,8
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,FC-1231,1,INGLES V,3,1,1,3
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,FC-1231,1,INGLES V,3,3,6,7
1508437,22827417,DIAZ,SAMUEL JAMES,AM-3717,1,GESTION DE LA ARTEFACCION,6,2,1,8
1508437,22827417,DIAZ,SAMUEL JAMES,AM-3717,1,GESTION DE LA ARTEFACCION,6,5,5,6
1700400,29710737,GUTIERREZ MARTINEZ,JOSHUA JOSEPH,AM-2534,3,INTEGRACION NUMEROMICA II,3,2,4,5
1700400,29710737,GUTIERREZ MARTINEZ,JOSHUA JOSEPH,AM-2534,3,INTEGRACION NUMEROMICA II,3,4,4,5
1606248,26468515,MARTIN JOHNSON,HANNAH SAMANTHA,FC-1621,4,ESTADISTICA I,3,1,4,5
1606248,26468515,MARTIN JOHNSON,HANNAH SAMANTHA,FC-1621,4,ESTADISTICA I,3,4,1,3
1508437,22827417,DIAZ,SAMUEL JAMES,AM-3718,1,SERVICIO DE ALIMENTOS Y BEBIDAS,2,5,6,9
1700400,29710737,GUTIERREZ MARTINEZ,JOSHUA JOSEPH,AM-2641,1,VALORACION ADUANERA,3,5,1,4
1700500,29241423,DIAZ MARTINEZ,JOSHUA CHRISTOPHER,AM-1334,4,FUNDAMENTOS DE ADMINISTRACION I,3,3,5,6
1700500,29241423,DIAZ MARTINEZ,JOSHUA CHRISTOPHER,AM-1334,4,FUNDAMENTOS DE ADMINISTRACION I,3,4,7,8
1700791,27387596,LOPEZ GUTIERREZ,JAMES,AM-3549,1,MERCADEO INTERNACIONAL,3,1,4,6
1700791,27387596,LOPEZ GUTIERREZ,JAMES,AM-3549,1,MERCADEO INTERNACIONAL,3,3,5,6
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,AM-1335,4,FUNDAMENTOS DE ADMINISTRACION II,3,1,3,4
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,AM-1335,4,FUNDAMENTOS DE ADMINISTRACION II,3,3,3,4
1800311,27218450,MARTIN,JESSICA JESSICA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1800311,27218450,MARTIN,JESSICA JESSICA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,AM-2429,1,FUNDAMENTOS DE NUMEROMIA,3,1,1,2
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,AM-2429,1,FUNDAMENTOS DE NUMEROMIA,3,5,4,5
1800723,28993573,DIAZ,BRITTANY ELIZABETH,FC-1525,1,LENGUAJE III,3,5,1,3
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,2,1,3
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,4,1,2
1500928,25795047,MORENO MARTIN,HANNAH MEGAN,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,3,1,3
1500928,25795047,MORENO MARTIN,HANNAH MEGAN,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,5,1,2
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,1,1,2
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,4,5,6
1508437,22827417,DIAZ,SAMUEL JAMES,FC-2703,1,INGLES V,3,1,4,5
1508437,22827417,DIAZ,SAMUEL JAMES,FC-2703,1,INGLES V,3,3,3,5
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,1,5,6
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,2,5,7
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2534,1,INTEGRACION NUMEROMICA II,3,1,1,2
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2534,1,INTEGRACION NUMEROMICA II,3,2,3,4
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,3,5,6
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,5,5,7
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,FC-1422,4,INTRODUCCION A LA ENCANTACION,3,2,4,6
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,FC-1422,4,INTRODUCCION A LA ENCANTACION,3,4,1,2
1600897,27418695,DIAZ RAMIREZ,ALEXANDER BRANDON,FC-4702,1,TECNICAS DE INVESTIGACION,3,5,1,3
1700617,26510803,DIAZ ALONZO,EMILY,AM-2720,1,FUNDAMENTOS DE HIGIENE,3,3,1,3
1700617,26510803,DIAZ ALONZO,EMILY,AM-2720,1,FUNDAMENTOS DE HIGIENE,3,5,3,4
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1225,1,INGLES III,3,2,1,3
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1225,1,INGLES III,3,3,4,5
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1621,2,ESTADISTICA I,3,2,6,8
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1621,2,ESTADISTICA I,3,4,7,8
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,TI-2501,1,VAPORICA I,3,2,3,5
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,TI-2501,1,VAPORICA I,3,4,3,4
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,2,1,3
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,4,1,2
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,AM-1335,2,FUNDAMENTOS DE ADMINISTRACION II,3,2,5,6
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,AM-1335,2,FUNDAMENTOS DE ADMINISTRACION II,3,4,6,7
1700617,26510803,DIAZ ALONZO,EMILY,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,1,1,2
1700617,26510803,DIAZ ALONZO,EMILY,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,4,5,6
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,AM-1425,6,FUNDAMENTOS DE DERECHO,3,5,5,8
1809502,14377992,MORENO PEREZ,JOSEPH CHRISTOPHER,TI-4511,1,ARTEFACTOS MEC. DE FABRICACION,3,3,7,8
1809502,14377992,MORENO PEREZ,JOSEPH CHRISTOPHER,TI-4511,1,ARTEFACTOS MEC. DE FABRICACION,3,4,1,3
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,FC-1621,1,ESTADISTICA I,3,2,1,3
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,FC-1621,1,ESTADISTICA I,3,4,1,2
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,AM-1425,2,FUNDAMENTOS DE DERECHO,3,4,3,6
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,FC-1621,3,ESTADISTICA I,3,1,1,3
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,FC-1621,3,ESTADISTICA I,3,4,4,5
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2716,1,GEOGRAFIA Y HOSPITALIDAD,3,1,5,6
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2716,1,GEOGRAFIA Y HOSPITALIDAD,3,2,1,3
1606272,26592852,LOPEZ,TYLER,AM-2530,1,INTEGRACION NUMEROMICA I,3,1,3,4
1606272,26592852,LOPEZ,TYLER,AM-2530,1,INTEGRACION NUMEROMICA I,3,3,3,4
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,FC-1422,5,INTRODUCCION A LA ENCANTACION,3,1,1,3
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,FC-1422,5,INTRODUCCION A LA ENCANTACION,3,4,3,4
1606272,26592852,LOPEZ,TYLER,AM-2631,2,LEGISLACION ADUANERA,3,1,5,8
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,AM-1428,1,FUNDAMENTOS DE NUMEROMIA,3,1,1,2
1800308,27134241,VASQUEZ TORRES,AUSTIN DAVID,AM-1428,1,FUNDAMENTOS DE NUMEROMIA,3,5,4,5
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,1,3,4
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,3,3,4
1600643,27252364,ALVAREZ HERNANDEZ,SARAH ASHLEY,FC-1542,1,DIVINATICA V ,4,3,4,6
1600643,27252364,ALVAREZ HERNANDEZ,SARAH ASHLEY,FC-1542,1,DIVINATICA V ,4,5,4,6
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2721,1,CONTABILIDAD PARA SERVICIOS DE LA HOSPITALIDAD,3,2,4,5
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2721,1,CONTABILIDAD PARA SERVICIOS DE LA HOSPITALIDAD,3,4,3,6
1700617,26510803,DIAZ ALONZO,EMILY,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,2,1,3
1700617,26510803,DIAZ ALONZO,EMILY,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,4,1,2
1700500,29241423,DIAZ MARTINEZ,JOSHUA CHRISTOPHER,AM-3226,1,MERCADOTECNIA HOTELERA,3,1,3,4
1700500,29241423,DIAZ MARTINEZ,JOSHUA CHRISTOPHER,AM-3226,1,MERCADOTECNIA HOTELERA,3,5,1,2
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,1,5,6
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,2,5,7
1800889,27725894,LOPEZ,DYLAN NICHOLAS,FC-1229,3,DIVINATICA II,4,2,4,6
1800889,27725894,LOPEZ,DYLAN NICHOLAS,FC-1229,3,DIVINATICA II,4,4,4,6
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2634,2,NOMENCLATURA  ADUANERA,3,1,1,3
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2634,2,NOMENCLATURA  ADUANERA,3,5,4,5
1800207,27215023,SANCHEZ ROMERO,JOHN KYLE,AM-1124,1,FUNDAMENTACION TEORICA DEL TURISMO,3,5,1,4
1606272,26592852,LOPEZ,TYLER,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,1,1,3
1606272,26592852,LOPEZ,TYLER,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,3,1,2
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,1,1,3
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,3,1,2
1606272,26592852,LOPEZ,TYLER,AM-2544,1,SERVICIO DE TRANSPORTE DE MERCANCIA,2,2,1,4
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-3535,1,MAGICOS DE PAGO INTERNACIONAL,3,4,1,4
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,AM-1425,2,FUNDAMENTOS DE DERECHO,3,4,3,6
1800973,28414703,LOPEZ GONZALEZ,MEGAN TAYLOR,TI-1321,1,DIBUJO I,2,2,1,4
1600235,27323009,GOMEZ HERNANDEZ,JACOB DAVID,FC-1581,4,LABORATORIO DE METAFISICA,2,2,6,8
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,AM-1724,2,CONTABILIDAD,3,2,6,7
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,AM-1724,2,CONTABILIDAD,3,3,6,8
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,TI-1381,4,TALLER BASICO,2,4,6,9
1500583,25494214,CASTILLO MEDINA,EMILY BRIANNA,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,1,1,2
1500583,25494214,CASTILLO MEDINA,EMILY BRIANNA,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,4,1,2
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1600149,27734069,ALVAREZ RODRIGUEZ,VICTORIA JESSICA,FCA-161,4,HOMBRE: CULTURA Y COOPERACIONEDAD II,3,4,4,6
1500583,25494214,CASTILLO MEDINA,EMILY BRIANNA,TI-2284,1,LABORATORIO DE SISTEMAS DE CONTROL,2,3,1,4
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,3,5,6
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,5,5,7
1508858,26626130,DIAZ TORRES,JACOB ZACHARY,FC-1231,1,INGLES V,3,1,1,3
1508858,26626130,DIAZ TORRES,JACOB ZACHARY,FC-1231,1,INGLES V,3,3,6,7
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,1,1,2
1700285,27941005,MEDINA RAMIREZ,CHRISTOPHER RYAN,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,4,5,6
1500583,25494214,CASTILLO MEDINA,EMILY BRIANNA,TI-2216,1,COMUNICACIONES II,2,1,1,2
1500583,25494214,CASTILLO MEDINA,EMILY BRIANNA,TI-2216,1,COMUNICACIONES II,2,1,5,6
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,AM-3520,1,INGENIERIA NUMERÓMICA,3,1,5,6
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,AM-3520,1,INGENIERIA NUMERÓMICA,3,4,7,8
1508858,26626130,DIAZ TORRES,JACOB ZACHARY,AM-2237,1,HIGIENE DE LOS ALIMENTOS,3,3,1,3
1508858,26626130,DIAZ TORRES,JACOB ZACHARY,AM-2237,1,HIGIENE DE LOS ALIMENTOS,3,5,3,4
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-3540,1,SEGUROS DE TRANSPORTE DE MERCANCIAS,3,3,1,2
1600985,27237270,MENDOZA SANCHEZ,CHRISTOPHER MICHAEL,AM-3540,1,SEGUROS DE TRANSPORTE DE MERCANCIAS,3,4,9,10
1800659,28294511,LOPEZ DIAZ,MATTHEW NICHOLAS,FC-1221,2,INGLES I ,3,3,1,3
1800659,28294511,LOPEZ DIAZ,MATTHEW NICHOLAS,FC-1221,2,INGLES I ,3,5,4,5
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FCA-171,1,HOMBRE: CULTURA Y COOPERACIONEDAD III,3,3,1,3
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,FC-1542,1,DIVINATICA V ,4,3,4,6
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,FC-1542,1,DIVINATICA V ,4,5,4,6
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FC-3701,1,DIVINATICA FINANCIERA,4,3,4,6
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FC-3701,1,DIVINATICA FINANCIERA,4,4,4,6
1600643,27252364,ALVAREZ HERNANDEZ,SARAH ASHLEY,FC-1527,1,METAFISICA II,3,2,1,3
1600643,27252364,ALVAREZ HERNANDEZ,SARAH ASHLEY,FC-1527,1,METAFISICA II,3,4,1,2
1505737,25252196,MARTINEZ,DAVID MATTHEW,AM-3810,1,GEONUMEROMIA INTERNACIONAL,3,3,5,7
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1621,2,ESTADISTICA I,3,2,6,8
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,FC-1621,2,ESTADISTICA I,3,4,7,8
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2716,1,GEOGRAFIA Y HOSPITALIDAD,3,1,5,6
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2716,1,GEOGRAFIA Y HOSPITALIDAD,3,2,1,3
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1222,1,DIVINATICA II,4,2,1,3
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1222,1,DIVINATICA II,4,4,1,3
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1225,5,INGLES III,3,1,4,5
1800572,28339294,RUIZ GUTIERREZ,STEPHANIE ASHLEY,FC-1225,5,INGLES III,3,5,5,7
1800244,28330728,ROJAS,AUSTIN,FC-1701,3,INGLES III,3,1,1,1
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FC-1525,1,LENGUAJE III,3,5,1,3
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1521,1,METAFISICA I,3,1,5,7
1800668,28880538,MARTINEZ CASTILLO,MICHAEL CHRISTOPHER,FC-1521,1,METAFISICA I,3,3,5,6
1800244,28330728,ROJAS,AUSTIN,FC-1525,1,LENGUAJE III,3,5,1,3
1800985,27286904,LOPEZ HERNANDEZ,EMILY AMANDA,AM-1425,2,FUNDAMENTOS DE DERECHO,3,4,3,6
1800244,28330728,ROJAS,AUSTIN,FC-3701,1,DIVINATICA FINANCIERA,4,3,4,6
1800244,28330728,ROJAS,AUSTIN,FC-3701,1,DIVINATICA FINANCIERA,4,4,4,6
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FC-1701,1,INGLES III,3,2,1,3
1800502,27419136,LOPEZ LOPEZ,ASHLEY KAYLA,FC-1701,1,INGLES III,3,3,4,5
1505737,25252196,MARTINEZ,DAVID MATTHEW,FC-3820,1,FORMULACION DE PROYECTOS DE INVESTIGACION,3,1,1,3
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,AM-3549,1,MERCADEO INTERNACIONAL,3,1,4,6
1600388,27481463,MARTINEZ TAYLOR,SARAH JESSICA,AM-3549,1,MERCADEO INTERNACIONAL,3,3,5,6
1600904,26606830,JIMENEZ GUTIERREZ,LAUREN,TI-2515,1,DIBUJO ESCOBATROVAPORICO,3,2,7,11
1800565,28346755,ALONZO RAMIREZ,MICHAEL DAVID,FC-1222,1,DIVINATICA II,4,2,1,3
1800565,28346755,ALONZO RAMIREZ,MICHAEL DAVID,FC-1222,1,DIVINATICA II,4,4,1,3
1800244,28330728,ROJAS,AUSTIN,FCA-171,1,HOMBRE: CULTURA Y COOPERACIONEDAD III,3,3,1,3
1800316,27913868,LOPEZ GONZALEZ,MATTHEW BRANDON,FC-1701,1,INGLES III,3,2,1,3
1800316,27913868,LOPEZ GONZALEZ,MATTHEW BRANDON,FC-1701,1,INGLES III,3,3,4,5
1505737,25252196,MARTINEZ,DAVID MATTHEW,AM-4811,1,CLASIFICACION ARANCELARIA I,3,2,5,7
1505737,25252196,MARTINEZ,DAVID MATTHEW,AM-4811,1,CLASIFICACION ARANCELARIA I,3,5,5,7
1600807,26925122,GOMEZ WILLIAMS,SAMANTHA TAYLOR,AM-2641,1,VALORACION ADUANERA,3,5,1,4
1700640,15174633,SANCHEZ TORRES,MICHAEL CHRISTOPHER,TI-1381,1,TALLER BASICO,2,4,1,4
1800565,28346755,ALONZO RAMIREZ,MICHAEL DAVID,FC-1521,1,METAFISICA I,3,1,5,7
1800565,28346755,ALONZO RAMIREZ,MICHAEL DAVID,FC-1521,1,METAFISICA I,3,3,5,6
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,1,1,2
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,4,5,6
1800893,29933165,CASTILLO,KAYLA JESSICA,FC-1621,2,ESTADISTICA I,3,2,6,8
1800893,29933165,CASTILLO,KAYLA JESSICA,FC-1621,2,ESTADISTICA I,3,4,7,8
1800789,25400478,DIAZ,ASHLEY,FC-1512,1,DIVINATICA II,4,2,4,6
1800789,25400478,DIAZ,ASHLEY,FC-1512,1,DIVINATICA II,4,4,4,6
1505556,26274407,JIMENEZ LOPEZ,JAMES WILLIAM,TI-1121,1,CIRCUITOS ESCOBATRICOS I,3,2,1,2
1505556,26274407,JIMENEZ LOPEZ,JAMES WILLIAM,TI-1121,1,CIRCUITOS ESCOBATRICOS I,3,4,6,7
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,1,5,6
1600455,27823374,DIAZ SANCHEZ,ASHLEY EMILY,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,2,5,7
1800316,27913868,LOPEZ GONZALEZ,MATTHEW BRANDON,AM-1724,2,CONTABILIDAD,3,2,6,7
1800316,27913868,LOPEZ GONZALEZ,MATTHEW BRANDON,AM-1724,2,CONTABILIDAD,3,3,6,8
1600807,26925122,GOMEZ WILLIAMS,SAMANTHA TAYLOR,AM-2534,2,INTEGRACION NUMEROMICA II,3,2,4,5
1600807,26925122,GOMEZ WILLIAMS,SAMANTHA TAYLOR,AM-2534,2,INTEGRACION NUMEROMICA II,3,4,4,5
1800309,26322593,RUIZ RODRIGUEZ,AMANDA JESSICA,FC-1224,1,INGLES II,3,2,1,3
1800309,26322593,RUIZ RODRIGUEZ,AMANDA JESSICA,FC-1224,1,INGLES II,3,3,4,5
1508867,27346692,ROMERO,JOSEPH BRANDON,FC-3820,1,FORMULACION DE PROYECTOS DE INVESTIGACION,3,1,1,3
1800893,29933165,CASTILLO,KAYLA JESSICA,FC-1225,4,INGLES III,3,1,1,3
1800893,29933165,CASTILLO,KAYLA JESSICA,FC-1225,4,INGLES III,3,5,3,4
1700688,27449602,FERNANDEZ GOMEZ,ASHLEY,AM-3226,1,MERCADOTECNIA HOTELERA,3,1,3,4
1700688,27449602,FERNANDEZ GOMEZ,ASHLEY,AM-3226,1,MERCADOTECNIA HOTELERA,3,5,1,2
1700640,15174633,SANCHEZ TORRES,MICHAEL CHRISTOPHER,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,2,4,5
1700640,15174633,SANCHEZ TORRES,MICHAEL CHRISTOPHER,FC-1422,8,INTRODUCCION A LA ENCANTACION,3,5,1,2
1800316,27913868,LOPEZ GONZALEZ,MATTHEW BRANDON,FCA-171,1,HOMBRE: CULTURA Y COOPERACIONEDAD III,3,3,1,3
1700688,27449602,FERNANDEZ GOMEZ,ASHLEY,AM-2237,1,HIGIENE DE LOS ALIMENTOS,3,3,1,3
